"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30"
"1";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"1";"13";"13131";"250000022081";"EDUARDO MATARAZZO SUPLICY";"EDUARDO SUPLICY";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"13";"PT";"Partido dos Trabalhadores";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";8483;"N"
"2";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"2";"13";"13131";"250000022081";"EDUARDO MATARAZZO SUPLICY";"EDUARDO SUPLICY";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"13";"PT";"Partido dos Trabalhadores";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";8529;"N"
"3";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"3";"13";"13131";"250000022081";"EDUARDO MATARAZZO SUPLICY";"EDUARDO SUPLICY";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"13";"PT";"Partido dos Trabalhadores";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";3233;"N"
"4";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"4";"13";"13131";"250000022081";"EDUARDO MATARAZZO SUPLICY";"EDUARDO SUPLICY";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"13";"PT";"Partido dos Trabalhadores";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";5718;"N"
"5";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"5";"13";"13131";"250000022081";"EDUARDO MATARAZZO SUPLICY";"EDUARDO SUPLICY";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"13";"PT";"Partido dos Trabalhadores";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";4236;"N"
"6";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"6";"13";"13131";"250000022081";"EDUARDO MATARAZZO SUPLICY";"EDUARDO SUPLICY";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"13";"PT";"Partido dos Trabalhadores";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";6858;"N"
"7";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"20";"13";"25250";"250000011022";"MILTON LEITE DA SILVA";"MILTON LEITE";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"25";"DEM";"Democratas";"250000000274";"PSDB/PSB/PP/DEM";"PSDB / PSB / PP / DEM";8741;"N"
"8";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"246";"13";"13131";"250000022081";"EDUARDO MATARAZZO SUPLICY";"EDUARDO SUPLICY";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"13";"PT";"Partido dos Trabalhadores";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";4451;"N"
"9";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"247";"13";"13131";"250000022081";"EDUARDO MATARAZZO SUPLICY";"EDUARDO SUPLICY";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"13";"PT";"Partido dos Trabalhadores";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";3487;"N"
"10";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"248";"13";"13699";"250000022073";"ALESSANDRO GUEDES DOS SANTOS";"ALESSANDRO GUEDES";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"13";"PT";"Partido dos Trabalhadores";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";5700;"N"
"11";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"249";"13";"13131";"250000022081";"EDUARDO MATARAZZO SUPLICY";"EDUARDO SUPLICY";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"13";"PT";"Partido dos Trabalhadores";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";4629;"N"
"12";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"250";"13";"40123";"250000010992";"ELISEU GABRIEL DE PIERI";"ELISEU GABRIEL";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"40";"PSB";"Partido Socialista Brasileiro";"250000000274";"PSDB/PSB/PP/DEM";"PSDB / PSB / PP / DEM";11492;"N"
"13";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"251";"13";"13131";"250000022081";"EDUARDO MATARAZZO SUPLICY";"EDUARDO SUPLICY";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"13";"PT";"Partido dos Trabalhadores";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";5392;"N"
"14";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"252";"13";"22611";"250000022111";"ANTONIO DE PAIVA MONTEIRO FILHO";"TONINHO PAIVA";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"22";"PR";"Partido da República";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";6195;"N"
"15";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"253";"13";"13131";"250000022081";"EDUARDO MATARAZZO SUPLICY";"EDUARDO SUPLICY";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"13";"PT";"Partido dos Trabalhadores";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";7625;"N"
"16";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"254";"13";"12012";"250000022154";"WADIH JORGE MUTRAN";"WADIH MUTRAN";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"5";"SUPLENTE";"12";"PDT";"Partido Democrático Trabalhista";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";7998;"N"
